gene,in_subset
ENSMUSG00000025613,False
ENSMUSG00000025616,False
ENSMUSG00000025702,False
ENSMUSG00000025747,False
ENSMUSG00000025758,False
ENSMUSG00000025762,False
ENSMUSG00000025764,False
ENSMUSG00000025790,False
ENSMUSG00000025809,False
ENSMUSG00000025856,True
ENSMUSG00000025873,False
ENSMUSG00000025888,False
ENSMUSG00000025893,False
ENSMUSG00000025911,False
ENSMUSG00000025915,False
ENSMUSG00000025917,False
ENSMUSG00000025950,False
ENSMUSG00000025958,False
ENSMUSG00000025959,False
ENSMUSG00000025969,False
ENSMUSG00000025979,False
ENSMUSG00000025981,False
ENSMUSG00000026003,False
ENSMUSG00000026014,False
ENSMUSG00000026020,False
ENSMUSG00000026031,False
ENSMUSG00000026074,False
ENSMUSG00000026077,False
ENSMUSG00000026078,False
ENSMUSG00000026088,False
ENSMUSG00000026103,False
ENSMUSG00000026107,False
ENSMUSG00000026110,False
ENSMUSG00000026113,False
ENSMUSG00000026126,True
ENSMUSG00000026131,False
ENSMUSG00000026166,False
ENSMUSG00000026172,False
ENSMUSG00000026197,False
ENSMUSG00000026204,False
ENSMUSG00000026241,False
ENSMUSG00000026254,False
ENSMUSG00000026288,False
ENSMUSG00000026289,False
ENSMUSG00000026311,False
ENSMUSG00000026315,False
ENSMUSG00000026317,False
ENSMUSG00000026321,False
ENSMUSG00000026357,False
ENSMUSG00000026389,False
ENSMUSG00000026390,False
ENSMUSG00000026395,False
ENSMUSG00000026425,False
ENSMUSG00000026429,False
ENSMUSG00000026430,False
ENSMUSG00000026433,False
ENSMUSG00000026437,False
ENSMUSG00000026456,False
ENSMUSG00000026466,False
ENSMUSG00000026469,False
ENSMUSG00000026470,False
ENSMUSG00000026473,False
ENSMUSG00000026484,False
ENSMUSG00000026491,False
ENSMUSG00000026496,False
ENSMUSG00000026547,True
ENSMUSG00000026548,False
ENSMUSG00000026553,False
ENSMUSG00000026554,False
ENSMUSG00000026566,False
ENSMUSG00000026578,False
ENSMUSG00000026585,False
ENSMUSG00000026596,False
ENSMUSG00000026600,False
ENSMUSG00000026626,False
ENSMUSG00000026627,False
ENSMUSG00000026670,False
ENSMUSG00000026672,False
ENSMUSG00000026675,False
ENSMUSG00000026687,False
ENSMUSG00000026737,False
ENSMUSG00000026740,False
ENSMUSG00000026750,False
ENSMUSG00000026753,False
ENSMUSG00000026766,False
ENSMUSG00000026767,False
ENSMUSG00000026773,False
ENSMUSG00000026786,False
ENSMUSG00000026797,False
ENSMUSG00000026799,False
ENSMUSG00000026811,False
ENSMUSG00000026819,False
ENSMUSG00000026821,False
ENSMUSG00000026827,False
ENSMUSG00000026832,False
ENSMUSG00000026853,False
ENSMUSG00000026854,False
ENSMUSG00000026864,False
ENSMUSG00000026880,False
ENSMUSG00000026914,False
ENSMUSG00000026927,False
ENSMUSG00000026946,False
ENSMUSG00000026970,False
ENSMUSG00000026994,False
ENSMUSG00000027001,False
ENSMUSG00000027009,False
ENSMUSG00000027035,False
ENSMUSG00000027078,False
ENSMUSG00000027080,False
ENSMUSG00000027087,False
ENSMUSG00000027111,False
ENSMUSG00000027131,False
ENSMUSG00000027160,False
ENSMUSG00000027164,False
ENSMUSG00000027165,False
ENSMUSG00000027173,False
ENSMUSG00000027177,False
ENSMUSG00000027184,False
ENSMUSG00000027195,False
ENSMUSG00000027207,False
ENSMUSG00000027215,False
ENSMUSG00000027227,False
ENSMUSG00000027230,False
ENSMUSG00000027242,False
ENSMUSG00000027243,False
ENSMUSG00000027244,False
ENSMUSG00000027274,False
ENSMUSG00000027276,False
ENSMUSG00000027281,False
ENSMUSG00000027284,False
ENSMUSG00000027313,False
ENSMUSG00000027314,False
ENSMUSG00000027327,False
ENSMUSG00000027329,False
ENSMUSG00000027330,False
ENSMUSG00000027332,False
ENSMUSG00000027339,False
ENSMUSG00000027346,False
ENSMUSG00000027347,False
ENSMUSG00000027349,False
ENSMUSG00000027351,False
ENSMUSG00000027360,False
ENSMUSG00000027366,False
ENSMUSG00000027368,False
ENSMUSG00000027387,False
ENSMUSG00000027398,True
ENSMUSG00000027399,True
ENSMUSG00000027404,False
ENSMUSG00000027422,False
ENSMUSG00000027423,False
ENSMUSG00000027425,False
ENSMUSG00000027428,False
ENSMUSG00000027429,False
ENSMUSG00000027465,False
ENSMUSG00000027479,False
ENSMUSG00000027502,False
ENSMUSG00000027519,False
ENSMUSG00000027540,False
ENSMUSG00000027544,False
ENSMUSG00000027552,False
ENSMUSG00000027555,False
ENSMUSG00000027562,False
ENSMUSG00000027601,False
ENSMUSG00000027611,False
ENSMUSG00000027613,True
ENSMUSG00000027630,False
ENSMUSG00000027634,False
ENSMUSG00000027646,False
ENSMUSG00000027660,False
ENSMUSG00000027698,False
ENSMUSG00000027712,False
ENSMUSG00000027714,False
ENSMUSG00000027722,False
ENSMUSG00000027746,False
ENSMUSG00000027763,False
ENSMUSG00000027765,False
ENSMUSG00000027775,False
ENSMUSG00000027776,False
ENSMUSG00000027782,False
ENSMUSG00000027787,False
ENSMUSG00000027800,False
ENSMUSG00000027805,False
ENSMUSG00000027808,False
ENSMUSG00000027811,False
ENSMUSG00000027828,False
ENSMUSG00000027829,False
